year,state,index,final co2 (kg),generation (mwh)
2009,IA,746.6220753,38719868004,51860063.19
2009,ID,55.27489577,724109528.6,13100151.86
2009,IL,487.3059283,94471250616,193864357.3
2009,IN,933.796454,1.09E+11,116670279.9
2009,KS,759.2044309,35437618743,46677307.59
2009,KY,927.4521425,84055383412,90630426.69
2009,LA,492.0710964,44775357998,90993676.17
2009,MA,474.3103335,18482285340,38966651.23
2009,MD,562.0369333,24603072361,43774832.05
2009,ME,213.732647,3494496441,16349848.7
2009,MI,687.1779394,69544197749,101202605.3
2009,MN,625.848733,32851957110,52491848.87
2009,MO,812.3778625,71777054376,88354271.69
2009,MS,503.2164762,24507389259,48701484.19
2009,MT,656.8800044,17547061708,26712735.34
2009,NC,523.926503,62036776382,118407402.6
2009,ND,928.904393,31765248188,34196466.75
2009,NE,732.6483189,24911429182,34001892.23
2009,NH,269.835337,5440992651,20164121.98
2009,NJ,234.2873223,14481589696,61811239.1
2009,NM,825.7111742,32759544776,39674338.68
2009,NV,480.0678716,18158942089,37825780.82
2009,NY,262.3704161,34934765121,133150549.7
2009,OH,810.3775248,1.10E+11,136090225.3
2009,OK,672.628175,50492050927,75066809.28
2009,OR,173.9885707,9863561088,56690856.47
2009,PA,515.6575255,1.13E+11,219496143.6
2009,RI,408.2899876,3142536371,7696824.48
2009,SC,374.9496591,37542017022,100125486.5
2009,SD,417.3311427,3420667657,8196531.02
2009,TN,489.6311968,39031875624,79716888.71
2009,TX,559.4955662,2.22E+11,397167909.6
2009,UT,842.5359046,36686495070,43542945.61
2009,VA,437.9997822,30695929716,70082066.16
2009,VT,0.996469539,7256638.34,7282348.39
2009,WA,127.4613209,13315901106,104470132.6
2009,WI,691.1236408,41439124159,59959060.45
2009,WV,913.8542491,64684901520,70782514.37
2009,WY,957.02155,44050948265,46029212.47
2010,AK,521.2204134,3523228872,6759575.76
2010,AL,520.0000487,79118273688,152150512.1
2010,AR,531.1574598,32400703079,61000184.56
2010,AZ,495.5302009,55377298492,111753629.5
2010,CA,220.9570562,45247425685,204779274.6
2010,CO,817.779774,41478437715,50720791.87
2010,CT,259.1680629,8643157281,33349623.34
2010,DE,664.3206649,3738560875,5627645.01
2010,FL,548.53515,1.26E+11,229095934.8
2010,GA,597.8094025,82244789082,137576941.3
2010,HI,701.3372156,7599715344,10836036.04
2010,IA,744.3058269,42804075966,57508720.77
2010,ID,59.86919067,719900926.2,12024564.19
2010,IL,489.2390603,98509200498,201351871.7
2010,IN,921.5505978,1.15E+11,125180738.9
2010,KS,754.1785814,36143074967,47923762.17
2010,KY,939.5216443,92277615770,98217658.24
2010,LA,495.1340813,50941840358,102884940.2
2010,MA,454.8240265,19467626733,42802546.92
2010,MD,610.5103836,26622687441,43607263.95
2010,ME,214.1545733,3644623794,17018659.64
2010,MI,634.3669894,70764507605,111551371.4
2010,MN,590.2893192,31680961775,53670227.03
2010,MO,822.5494006,75931994183,92312989.5
2010,MS,512.1428215,27905259103,54487260.06
2010,MT,679.0998159,20227020608,29785047.99
2010,NC,539.2632402,69391575834,128678483.3
2010,ND,882.3462183,30652303244,34739541.7
2010,NE,658.1039603,24106352180,36630006.25
2010,NH,247.6686497,5497231570,22195912.07
2010,NJ,269.676275,17713010228,65682493.68
2010,NM,820.0888351,29729485054,36251542.25
2010,NV,478.5757562,16883792679,35279247.77
2010,NY,284.7303712,38997142494,136961653.7
2010,OH,801.6146278,1.15E+11,143598336.9
2010,OK,664.4530274,48007218399,72250733.19
2010,OR,192.5245962,10613303256,55126999.19
2010,PA,528.3286281,1.21E+11,229752306.2
2010,RI,415.8377804,3218051740,7738719.02
2010,SC,397.9767926,41450529724,104153132.8
2010,SD,359.1787755,3609615999,10049636.13
2010,TN,520.609193,42871451130,82348624.86
2010,TX,568.3322578,2.34E+11,411695046.3
2010,UT,831.6584433,35137032517,42249354.65
2010,VA,461.2935338,33658954368,72966456.06
2010,VT,1.299876422,8605168.901,6619989.99
2010,WA,134.1042068,13876128254,103472729
2010,WI,706.3513805,45428330124,64314067.16
2010,WV,894.8717359,72295745495,80788947.28
2010,WY,944.7479533,45460566549,48119253.81
2011,AK,533.2720618,3664129850,6871032.84
2011,AL,501.0208884,78329209841,156339209.9
2011,AR,566.6462532,34739685546,61307535.96
2011,AZ,494.4366521,53462087212,108127273.7
2011,CA,188.4741014,37968416530,201451638.5
2011,CO,771.6470678,39687779783,51432554.39
2011,CT,230.4552789,7776764240,33745220.66
2011,DE,544.5229312,3588512200,6590194.82
2011,FL,522.2614526,1.16E+11,221923641.1
2011,GA,588.2501235,73383815366,124749341.2
2011,HI,687.7266113,7374721425,10723332.94
2011,IA,703.4049235,39652280928,56371912.68
2011,ID,30.07800118,498355964.3,16568785.98
2011,IL,485.3313304,96823468464,199499728.1
2011,IN,906.5834603,1.11E+11,122131414
2011,KS,784.0159516,35562838278,45359840.2
2011,KY,933.0181644,91763252861,98350982.18
